,actual_batch,batch_size,client_latency,mean_throughput,num_cpus,num_gpus,p99_latency,std_throughput
4,1.00000000000000001117,1,11.161528541886796,78.54210492164376,2,1,14941.5400000000036016,1.5874237844717745
5,4.30383973288814690233,8,0.1126309996,211.95124892121774,2,1,43647,37.358239089761724
6,4.6122448979591836528,16,0.07756638792452832,213.52188044715692,2,1,48213.7800000000095224,53.81492281244014
7,3.90356083086053412979,32,0.0652354525490196,219.07197260595538,2,1,78288.5,86.50569251286797
8,0.999999999999999974467,1,11.483096698461539,76.41635200553375,3,1,15383.5199999999995271,1.3298851897104151
9,5.22903225806451612493,8,0.20253754967741935,220.9043865870957,3,1,45699.059999999950378,35.723484793892545
10,4.40145985401459855077,16,0.10052918685714288,223.6971988044006,3,1,49286.9599999999962847,63.33161484259212
11,4.81592039800995025747,32,0.10852496648648649,235.68788327543774,3,1,78046.9199999999841566,103.81575869598036
12,1.00000000000000001485,1,8.259616838918921,78.0586191376374,4,1,15005.799999999991087,1.0198751379086535
13,4.85978835978835978617,8,0.14701458857142857,217.05030330432734,4,1,32035.5399999999964393,37.019212041700136
14,4.25117370892018779215,16,0.09185636685714285,222.65516728621438,4,1,49237.060000000038599,62.80195695407586
15,4.29772727272727272452,32,0.08279132111111112,229.96301352061423,4,1,79286.2199999999935471,102.68142281143326
16,0.999999999999999983086,1,8.737113035384613,77.22032228109651,5,1,15688.7600000000020373,1.7581694535768533
17,4.65441176470588236381,8,0.1324467172222222,216.2387545389612,5,1,32387.7899999999978036,37.74793641443647
18,4.44977168949771688736,16,0.08749646054054055,221.49339263532084,5,1,46130.1100000000034242,64.23467384685692
19,4.30837004405286342268,32,0.08551707421052629,228.74492781952247,5,1,78442.5499999999797183,100.96004003938678
20,1,1,19.81380144121212,78.6201660383421,1,1,14769.1199999999989814,1.0080317180294964
21,4.35508345978755689485,8,0.10328502214285715,208.393396713018,1,1,36519.1999999999958391,30.58920596428358
22,3.86658031088082900645,16,0.06638775344827585,212.2755864309496,1,1,44470.5999999999930878,54.308558722733245
23,3.9303278688524590132,32,0.06616917071428571,217.79192160881297,1,1,79476.4899999998710882,86.04929856906448
24,0.999999999999999964438,1,11.5504700125,80.07088170250712,2,1,14757.9399999999986903,0.9073681913110245
25,4.03148148148148148182,8,0.10843330761904763,213.83633679899663,2,1,29444.9600000000045839,38.7342358637886
26,4.05871559633027521744,16,0.07941338418604653,218.32994661639353,2,1,45797.4399999999932334,60.88000683784343
27,4.06870229007633586391,32,0.07659549463414635,227.39292197411913,2,1,78553.5,100.67905805520189
28,1.00000000000000001648,1,8.9333105895,77.42899883956602,3,1,15089.6799999999993815,0.7991525274036662
29,4.6876404494382022353,8,0.1342645385,214.0143190915428,3,1,32495.600000000009004,34.14484083642184
30,4.30334728033472802781,16,0.088531729,220.8240176356694,3,1,47172.3699999999795978,63.015480720264385
31,4.07869481765834932321,32,0.07377305853658536,225.0001901209528,3,1,79985.4999999999747615,95.76574077598679
32,1.0000000000000000245,1,8.915193374500001,78.93029832051187,4,1,17343.2399999999870488,4.440491471504971
33,4.67494356659142210227,8,0.146350474,214.5392888247189,4,1,45528.160000000004402,34.88216092461252
34,4.32993890020366600487,16,0.0958957112195122,217.84106243861305,4,1,51520.0399999999763168,51.896255388773106
35,4.08413001912045888668,32,0.0736423668292683,226.2347335985842,4,1,76923.5199999999997544,98.43374795231564
36,1.00000000000000002038,1,8.799814705853658,79.84063708592286,5,1,14585.9599999999991269,1.1076524952956646
37,4.67108167770419425687,8,0.12141468634146342,214.17178707224966,5,1,37124.7199999999962756,37.70377153354989
38,4.35531914893617020301,16,0.09539386871794872,218.80561225464137,5,1,50050.3400000000132195,54.0725481408152
39,4.47457627118644067112,32,0.07710278048780488,226.0944590079269,5,1,77624.8099999999853935,97.51064570738409
40,1,1,7.821312136565657,120.97034902113666,1,0,9627.05999999999949068,1.349233621277191
41,1,1,8.017848434949496,121.50366485666817,1,0,11945.5999999999949068,2.651310392374031
42,7.25689404934687951358,8,0.07896851616161615,194.648590111689,1,0,45476.9000000000031605,12.895016264163763
43,7.04225352112676061724,16,0.05826663373737374,194.33816109095696,1,0,49933.0899999999920738,11.929393394545443
44,7.29927007299270073611,32,0.06137141171717172,194.66473319748903,1,0,65412.1799999999517468,15.073770663049084
45,1,1,8.243781670505049,118.68263725683312,2,0,9761.17999999999847205,1.3637544883409096
46,7.96178343949044592127,8,0.20600560404040402,194.8209027936667,2,0,71026.9200000000673754,15.169195364295698
47,7.96178343949044585968,16,0.06689688464646465,195.27466968692096,2,0,69446.5400000000681757,16.386966210663903
48,8.4602368866328257228,32,0.0770023109090909,196.2360194891851,2,0,111820.080000000021528,23.611030609557712
49,1,1,7.819094139595959,120.72580518925976,3,0,9614.17999999999847205,1.6219803421707144
50,7.83699059561128524506,8,0.15364885535353534,194.65176509180384,3,0,70053.4900000000028513,15.94175786574045
51,8.4033613445378151207,16,0.07151781232323232,196.01916696655,3,0,81381.7199999999793363,16.018741287039507
52,14.6627565982404691964,32,0.29664480404040405,198.19512631573775,3,0,201353.739999999710562,48.91013459693924
53,1,1,8.544971986464647,119.10877919965532,4,0,12650.179999999998472,5.613036684603392
54,7.91139240506329108338,8,0.3315156501010101,191.5944453266731,4,0,69105.0999999995647158,14.200285988008973
55,8.547008547008547002,16,0.07479433898989898,195.08778276676708,4,0,84809.1599999999946249,15.57427282557328
56,21.7391304347826086907,32,0.7669778193939396,202.30557582196244,4,0,221483.829999999939901,64.03959076094306
57,1,1,8.066804286868686,119.60461033623845,5,0,9738.11999999999898137,1.5078392581303912
58,7.16332378223495704148,8,0.06665972444444444,194.38058785036992,5,0,45928.1399999999989632,12.3468965314968
59,8.46023688663282570892,16,0.07001198767676768,194.71818236322173,5,0,58654.3200000000758791,14.096666044578633
60,7.05218617771509164111,32,0.05812506606060606,194.4260789545075,5,0,47474.3999999999830379,12.49368408854386
