,client_latency_ms,configured_batch_size,mean_batch_size,mean_throughput_qps,model_name,num_cpus_per_replica,num_gpus_per_replica,p99_latency_ms,std_throughput_qps
0,48151.994188571436,1,0.999999999999999999187,34.92727453496291,inceptionv3-tfserve-compare,1,1,28.995369999999998,0.014193310671312336
1,32095.05859785714,2,2.00000000000000000239,53.75475132449399,inceptionv3-tfserve-compare,1,1,38.70664,0.08638007951068195
2,25067.88975607143,4,3.99601593625498010881,71.44157227965408,inceptionv3-tfserve-compare,1,1,58.22078,0.026933008177046098
3,23018.203935357145,6,5.99003984063745016772,79.3906419931843,inceptionv3-tfserve-compare,1,1,79.18476999999992,1.0749028784649963
4,22292.11804642857,8,7.98162729658792653026,82.28345091331866,inceptionv3-tfserve-compare,1,1,106.00902,0.025310065774384088
5,21779.985405,10,9.97049180327868851681,85.11904116416095,inceptionv3-tfserve-compare,1,1,120.61175999999999,0.11544962303029928
6,21459.74380214286,12,11.9601593625498008053,86.16652209634044,inceptionv3-tfserve-compare,1,1,377.168319999995,2.492090844573095
7,20972.896509642855,16,15.9206349206349206055,88.7131871873347,inceptionv3-tfserve-compare,1,1,882.4674999999904,3.510410824673813
8,20657.663777142858,24,23.8217054263565891133,91.92380095321555,inceptionv3-tfserve-compare,1,1,1958.4347999999839,4.712566119250227
9,20541.708445714285,32,31.6736842105263157656,93.41136118708161,inceptionv3-tfserve-compare,1,1,2372.486,5.566951156124853
10,147603.96299285712,1,1.00000000000000000239,1.225122336859958,inceptionv3-tfserve-compare,1,0,820.3077900000001,0.0002789840872426688
11,145961.3724357143,2,1.99378881987577640075,1.2404402573917541,inceptionv3-tfserve-compare,1,0,1618.5019,0.00022872719731920096
12,145175.7968392857,4,3.96296296296296296567,1.254361251511122,inceptionv3-tfserve-compare,1,0,3199.457,0.00034581974430454934
13,145998.7993607143,6,5.92592592592592592267,1.2793676549913582,inceptionv3-tfserve-compare,1,0,4798.876,0.0988412225054193
14,77748.93507499999,1,1.00000000000000000239,2.3233753057482227,inceptionv3-tfserve-compare,2,0,447.0836800000001,0.0022486256556813536
15,76863.56937857142,2,1.99378881987577640075,2.3562383897060264,inceptionv3-tfserve-compare,2,0,859.2530599999999,0.001959416798530266
16,76825.55871428573,4,3.96296296296296296567,2.370953822915731,inceptionv3-tfserve-compare,2,0,1701.748,0.0008049337194229599
17,77248.5034642857,6,5.90909090909090908795,2.3662278171332756,inceptionv3-tfserve-compare,2,0,2555.576,0.17055197105250924
18,55513.27401785714,1,1.00000000000000000184,3.260261116810134,inceptionv3-tfserve-compare,3,0,322.11827999999997,0.012068387746757779
19,53649.66581428571,2,1.99382716049382715834,3.382920847004772,inceptionv3-tfserve-compare,3,0,619.08723,0.006667243658440448
20,52592.63857857143,4,3.96296296296296296567,3.4713182146229107,inceptionv3-tfserve-compare,3,0,1220.276,0.007860401669470052
21,52423.175689285716,6,5.92592592592592592267,3.5658535931611053,inceptionv3-tfserve-compare,3,0,1739.098,0.2714909738119869
