+-----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
|     |   client_latency_ms |   configured_batch_size |   mean_batch_size |   mean_throughput_qps | model_name   |   num_cpus_per_replica |   num_gpus_per_replica |   p99_latency_ms |   std_throughput_qps |
|  49 |            3672.79  |                       2 |           1.99976 |              1181.91  | elastic-net  |                      4 |                      1 |          2.61215 |              223.416 |
|  50 |            1110.48  |                       4 |           3.70782 |              1903.82  | elastic-net  |                      4 |                      1 |          3.03514 |              271.386 |
|  51 |             970.46  |                       8 |           4.48029 |              2576.95  | elastic-net  |                      4 |                      1 |          3.23934 |             1293.07  |
|  52 |            1023.52  |                      16 |           4.3611  |              2495.33  | elastic-net  |                      4 |                      1 |          3.4599  |             1071.97  |
|  53 |             977.883 |                      32 |           4.66853 |              2703.6   | elastic-net  |                      4 |                      1 |          3.95376 |             1639.04  |
|  54 |            7862.9   |                       1 |           1       |               615.23  | elastic-net  |                      5 |                      1 |          2.42815 |              160.635 |
|  55 |            3678.77  |                       2 |           2       |              1173.94  | elastic-net  |                      5 |                      1 |          2.50109 |              192.662 |
|  56 |             973.789 |                       4 |           3.9984  |              2210.63  | elastic-net  |                      5 |                      1 |          2.6589  |              381.958 |
|  57 |            1094.46  |                       8 |           4.74834 |              3425.69  | elastic-net  |                      5 |                      1 |          3.20464 |             3517.77  |
|  58 |            1100.27  |                      16 |           4.662   |              3400.82  | elastic-net  |                      5 |                      1 |          3.33158 |             3664.28  |
|  59 |            1102.28  |                      32 |           4.36872 |              2370.87  | elastic-net  |                      5 |                      1 |          3.9197  |             1492.19  |
|  60 |            6570.23  |                       8 |           7.99561 |              1861.29  | elastic-net  |                      1 |                      0 |          3.21039 |             1157.05  |
|  61 |            5633.77  |                       8 |           7.99731 |              1494.35  | elastic-net  |                      1 |                      0 |          3.17912 |              880.796 |
|  62 |            6360.28  |                       8 |           7.99731 |              1529.73  | elastic-net  |                      1 |                      0 |          3.17912 |              876.968 |
|  63 |            4407.8   |                      16 |          15.9936  |              2322.83  | elastic-net  |                      1 |                      0 |          4.3169  |             1716.64  |
|  64 |            3998.58  |                      32 |          31.5195  |              3173.65  | elastic-net  |                      1 |                      0 |          7.78188 |             2231.7   |
|  65 |            4261.77  |                      32 |          31.5706  |              2460.72  | elastic-net  |                      1 |                      0 |          7.22272 |             1472.26  |
|  66 |            5979.85  |                       8 |           7.99829 |              1710.65  | elastic-net  |                      2 |                      0 |          3.37724 |             1002.58  |
|  67 |            6259.81  |                       8 |           7.99829 |              1462.44  | elastic-net  |                      2 |                      0 |          3.35645 |              883.004 |
|  68 |            6918.03  |                       8 |           7.99805 |              1224.56  | elastic-net  |                      2 |                      0 |          3.32306 |              569.567 |
|  69 |            6848.14  |                       8 |           7.99805 |              1900.19  | elastic-net  |                      2 |                      0 |          3.32306 |             1722.4   |
|  70 |            5167.16  |                      16 |          15.9936  |              2232.56  | elastic-net  |                      2 |                      0 |          4.66838 |             1927.47  |
|  71 |            4716.06  |                      32 |          31.9744  |              2593.34  | elastic-net  |                      2 |                      0 |          7.16548 |             1860.8   |
|  72 |            6589.03  |                       8 |           7.99829 |              1462     | elastic-net  |                      3 |                      0 |          4.3626  |              988.103 |
|  73 |            5879.83  |                       8 |           7.99805 |              1242.99  | elastic-net  |                      3 |                      0 |          3.93504 |              851.24  |
|  74 |            7795.36  |                       8 |           7.99805 |              1530.01  | elastic-net  |                      3 |                      0 |          3.93504 |             1438.91  |
|  75 |            5357.05  |                      16 |          15.9936  |              2422.65  | elastic-net  |                      3 |                      0 |          5.19662 |             1867.21  |
|  76 |            4464.15  |                      32 |          31.9128  |              3979.44  | elastic-net  |                      3 |                      0 |         10.4559  |             2388.43  |
|  77 |            4014.19  |                      32 |          31.9234  |              2732.37  | elastic-net  |                      3 |                      0 |          9.12358 |             1836.77  |
