,client_latency_ms,configured_batch_size,inst_type,mean_batch_size,mean_throughput_qps,model_name,num_cpus_per_replica,num_gpus_per_replica,p99_latency_ms,std_throughput_qps
0,5879.83138412,8,g3.4xlarge,7.998046875,1242.99099448,elastic-net,3,0,3.93504,851.239751194
1,977.882893065,32,g3.4xlarge,4.66853408029878616699,2703.60009517,elastic-net,4,1,3.95376,1639.04408415
2,970.459964623,8,g3.4xlarge,4.48028673835125450416,2576.9522272,elastic-net,4,1,3.23934,1293.07370229
3,1112.14342583,16,g3.4xlarge,4.67508181393174379473,2781.93170563,elastic-net,3,0,3.0606,1724.48263305
4,4024.46042764,16,g3.4xlarge,15.9936895246108541661,1855.43238578,elastic-net,4,1,5.5647,1425.3474608
5,4690.8202799,32,g3.4xlarge,31.9744204636290964162,2105.38886219,elastic-net,3,1,9.91648,1619.68484852
6,3929.96885749,16,g3.4xlarge,15.993966210780369599,2332.63821904,elastic-net,1,1,4.01037,1441.11585056
7,6235.86936211,8,g3.4xlarge,7.998046875,1217.51903437,elastic-net,4,1,3.77314,675.168854266
8,4446.03341106,16,g3.4xlarge,15.9880412371134023571,1981.02993859,elastic-net,4,0,6.42278,1419.629714
9,3526.92587688,2,g3.4xlarge,1.999755859375,1187.08207279,elastic-net,3,0,2.49706,197.517843326
10,7609.32077869,1,g3.4xlarge,1,626.494023919,elastic-net,1,0,2.27415,112.763234402
11,1089.20031387,16,g3.4xlarge,4.21762969211303245841,2357.77217662,elastic-net,4,0,3.271,946.187492404
12,1278.19041598,32,g3.4xlarge,4.41501103752759381559,2350.17106997,elastic-net,5,0,5.90256,1456.41372639
13,937.309154171,8,g3.4xlarge,4.69483568075117366344,3491.4929588,elastic-net,2,0,2.219,3761.67054202
14,4569.94153568,32,g3.4xlarge,31.9744204636290964162,1885.38219818,elastic-net,4,0,11.85404,1235.26584358
15,4390.47355497,16,g3.4xlarge,15.9923702950152592664,3187.17715052,elastic-net,1,1,4.08931,1973.41083459
16,5148.41136935,16,g3.4xlarge,15.9872102318145480988,1770.39776748,elastic-net,5,0,5.91379,1287.54732546
17,3534.66079296,2,g3.4xlarge,1.999755859375,1200.77576248,elastic-net,2,1,2.47909,231.03123961
18,7615.28344975,1,g3.4xlarge,1,625.940423792,elastic-net,4,0,1.83003,124.01854604
19,1040.73566141,4,g3.4xlarge,3.99840063974410235581,2222.49595766,elastic-net,3,1,2.85088,674.830640892
20,905.949130352,4,g3.4xlarge,3.99361022364217246156,2395.18659413,elastic-net,1,0,2.00685,890.569901663
21,5633.76520241,8,g3.4xlarge,7.997314453125,1494.34605596,elastic-net,1,0,3.17912,880.795800632
22,5966.56993377,8,g3.4xlarge,7.998291015625,1394.63328867,elastic-net,1,1,2.68218,760.437755684
23,1253.30611347,32,g3.4xlarge,4.40140845070422537374,2722.54018023,elastic-net,4,0,4.21189,2128.38038875
24,7616.84417688,1,g3.4xlarge,1,621.78496984,elastic-net,1,1,2.29833,76.3340072547
25,1100.27203648,16,g3.4xlarge,4.66200466200466200105,3400.82192966,elastic-net,5,1,3.33158,3664.27564314
26,839.986186834,8,g3.4xlarge,4.84730974309258364494,2702.78238609,elastic-net,3,1,3.1278,1074.97763239
27,5979.84885477,8,g3.4xlarge,7.998291015625,1710.65475933,elastic-net,2,0,3.37724,1002.57546077
28,1031.35726302,4,g3.4xlarge,3.8299502106472615322,2082.14627338,elastic-net,5,0,2.10016,321.093316996
29,7133.15412,8,g3.4xlarge,7.998046875,1396.3980998,elastic-net,5,0,3.94336,990.170696821
30,4266.40774322,32,g3.4xlarge,31.975040257648953218,1841.98131335,elastic-net,4,0,11.3306,1140.83365346
31,4321.27975759,16,g3.4xlarge,15.9931129476584020467,2498.25282716,elastic-net,2,1,4.49262,1589.65070186
32,5037.15342271,16,g3.4xlarge,15.9936025589764094232,3018.51718716,elastic-net,2,1,4.3958,2386.08744643
33,728.312096985,8,g3.4xlarge,5.10725229826353423332,3323.538217,elastic-net,1,1,2.96489,1862.26962083
34,3998.57932432,32,g3.4xlarge,31.5194805194805196275,3173.65424375,elastic-net,1,0,7.78188,2231.70261383
35,6600.42141367,8,g3.4xlarge,7.99609375,1340.69106353,elastic-net,3,1,3.59518,869.673245041
36,781.997901407,32,g3.4xlarge,5.15198351365275631969,3348.13743678,elastic-net,2,1,3.24112,2902.61094684
37,3671.35620201,2,g3.4xlarge,1.999755859375,1190.83079397,elastic-net,3,1,2.53709,224.002664503
