,client_latency_ms,configured_batch_size,inst_type,mean_batch_size,mean_throughput_qps,model_name,num_cpus_per_replica,num_gpus_per_replica,p99_latency_ms,std_throughput_qps
0,39335.5404964,1,g3.4xlarge,1.0000000000000000154,20.5070583218,alexnet,2,0,52.42604,0.192604681689
1,38468.7936407,4,p2.8xlarge,3.9921052631578947303,20.9445652542,alexnet,1,0,202.50009,0.113329938889
2,26700.9821021,6,g3.4xlarge,5.98031496062992127746,30.8704957106,alexnet,3,0,273.34035,1.71322056358
3,10978.4717236,1,p2.8xlarge,0.999999999999999986827,81.0929125156,alexnet,1,1,13.55468,3.62735234206
4,6177.27358357,20,p2.8xlarge,19.7499999999999999948,153.588712918,alexnet,1,1,866.801,3.40923402595
5,35692.1450707,8,g3.4xlarge,7.96296296296296294854,22.743646502,alexnet,1,0,398.0418,0.981297104585
6,10562.5059179,1,g3.4xlarge,1.00000000000000000824,99.3304420589,alexnet,2,1,13.50084,7.02172848353
7,6393.34984643,10,p2.8xlarge,9.94339622641509432964,146.951344022,alexnet,1,1,394.1952,4.29341321249
8,9152.86221571,2,g3.4xlarge,1.99868073878627969047,119.594162391,alexnet,2,1,29.10609,11.3552765557
9,9499.15788143,2,g3.4xlarge,1.99871794871794871632,117.677368536,alexnet,3,1,24.14526,10.4563373695
10,7838.48079286,8,g3.4xlarge,7.96482412060301508917,152.307996587,alexnet,2,1,101.76,15.2504702272
11,8349.17782733,4,g3.4xlarge,3.99266503667481661381,142.481065345,alexnet,2,1,41.0859,8.74804406613
12,8512.609178,4,g3.4xlarge,3.99266503667481661381,139.263176415,alexnet,3,1,47.8352,14.8777305831
13,25716.855085,10,g3.4xlarge,9.94078947368421051139,31.7565108009,alexnet,3,0,398.87767,0.6017968006
14,25739.6877043,8,g3.4xlarge,7.96296296296296294854,31.666013525,alexnet,3,0,295.3808,1.38310359687
15,38641.1024843,4,g3.4xlarge,3.99208443271767810683,20.8644839735,alexnet,1,0,206.8698,0.104351403819
16,7828.538114,6,g3.4xlarge,5.9813432835820895539,152.641987287,alexnet,2,1,55.50179,9.26580057645
17,6517.66124933,12,p2.8xlarge,11.9202898550724637845,153.022685644,alexnet,1,1,567.5025,8.34259431356
18,8024.630404,8,g3.4xlarge,7.96517412935323384669,153.117361418,alexnet,3,1,98.56464,15.050467471
19,6695.01607429,6,p2.8xlarge,5.98007968127490040266,139.871944933,alexnet,1,1,58.3548,6.72951672266
20,11404.4784171,1,g3.4xlarge,1.00000000000000001117,99.0327962857,alexnet,1,1,14.63094,6.91793913103
21,7214.53335643,10,g3.4xlarge,9.94117647058823529146,159.487675214,alexnet,1,1,1029.14896,4.22939795759
22,26269.8371757,10,g3.4xlarge,9.94078947368421051139,31.0740857408,alexnet,2,0,387.12151,0.396042598456
23,9166.83627429,2,g3.4xlarge,1.99871630295250321801,114.473660967,alexnet,1,1,19.5738,5.32480798559
24,6084.72482214,24,p2.8xlarge,23.6461538461538461429,164.155062971,alexnet,1,1,1042.775,11.9371732851
25,7380.00383286,10,g3.4xlarge,9.94078947368421051139,155.549063068,alexnet,3,1,1035.97423,9.76632649782
26,6083.67004286,16,p2.8xlarge,15.8437500000000000113,157.594312994,alexnet,1,1,872.792,9.51091193792
27,36252.37314,6,g3.4xlarge,5.98015873015873015419,22.3163725048,alexnet,1,0,283.76103,0.651765421121
28,6037.95450267,30,p2.8xlarge,29.4821428571428571352,171.559437354,alexnet,1,1,869.916,22.2759071553
29,34569.2247893,10,g3.4xlarge,9.94078947368421051139,23.3914725341,alexnet,1,0,448.49094,0.153134614606
30,35893.5678364,6,p2.8xlarge,5.98007968127490040266,22.5128171685,alexnet,1,0,280.80032,0.694137568291
31,28827.9743571,4,g3.4xlarge,3.99206349206349207174,28.1456309398,alexnet,3,0,159.56984,0.362860397141
32,10600.18574,1,g3.4xlarge,0.999999999999999986827,98.3042757839,alexnet,3,1,13.65162,7.49122553062
33,46944.5127964,1,g3.4xlarge,1.00000000000000001355,17.143213023,alexnet,1,0,62.4896,0.109981895497
34,43178.1279643,2,p2.8xlarge,1.9986684420772303487,18.6480814877,alexnet,1,0,113.31836,0.0640909390633
35,29452.8555786,4,g3.4xlarge,3.99214659685863873886,27.4165710248,alexnet,2,0,155.9291,0.29256205542
36,37683.5306386,1,g3.4xlarge,1.00000000000000000857,21.9009032713,alexnet,3,0,71.34686,0.15636727486
37,35124.750645,8,p2.8xlarge,7.96296296296296294854,23.024408151,alexnet,1,0,362.5435,0.886565012592
38,8370.063284,4,g3.4xlarge,3.99268292682926828965,141.983671503,alexnet,1,1,38.71604,9.36434122943
39,7896.43352467,10,g3.4xlarge,9.94478527607361962887,150.123282409,alexnet,2,1,828.647,13.0859803283
40,47922.5422136,1,p2.8xlarge,1.00000000000000000889,16.7961763588,alexnet,1,0,63.1834,0.0539899406775
41,7558.351962,8,g3.4xlarge,7.96650717703349280519,157.804931325,alexnet,1,1,61.4677,7.75862225701
42,34944.5062043,2,g3.4xlarge,1.99867899603698812299,23.0603032555,alexnet,2,0,92.70418,0.206326493171
43,7962.69362357,6,g3.4xlarge,5.98054474708171206199,145.378928887,alexnet,3,1,72.3068,16.025980635
44,7774.08212667,4,p2.8xlarge,3.99262899262899261985,128.391764184,alexnet,1,1,43.96992,7.16845719263
45,43331.2724407,2,g3.4xlarge,1.99868073878627969047,18.5789843265,alexnet,1,0,113.58843,0.0843744486475
