+----+------------------------+-------------------------+-----------------------+------------------+---------------------+
|    |   num_gpus_per_replica |   configured_batch_size |   mean_throughput_qps |   p99_latency_ms |   client_latency_ms |
|----+------------------------+-------------------------+-----------------------+------------------+---------------------|
|  4 |                      1 |                      30 |               47.6875 |        1006.58   |             18817.1 |
|  7 |                      1 |                       1 |               20.3134 |          51.9048 |             40674.5 |
|  8 |                      1 |                       4 |               36.0938 |         139.169  |             23431.7 |
| 13 |                      1 |                      48 |               47.8705 |        1088.24   |             81698.2 |
| 19 |                      1 |                      16 |               45.0031 |        1004.75   |             19310.5 |
| 21 |                      1 |                      12 |               42.7537 |         833.836  |             20185.3 |
| 26 |                      1 |                      24 |               43.7253 |        1002.32   |             20000.4 |
| 27 |                      1 |                      30 |               46.5842 |         885.046  |             52933   |
| 28 |                      1 |                      20 |               42.6006 |        1005.92   |             20201.9 |
| 29 |                      1 |                      10 |               40.9801 |         636.056  |             20782.8 |
| 30 |                      1 |                       2 |               27.3038 |          84.7552 |             30505.5 |
| 38 |                      1 |                       8 |               39.7309 |         333.233  |             21416.5 |
| 46 |                      1 |                       6 |               39.9589 |         238.698  |             21402.4 |
+----+------------------------+-------------------------+-----------------------+------------------+---------------------+
