,client_latency_ms,configured_batch_size,inst_type,mean_batch_size,mean_throughput_qps,model_name,num_cpus_per_replica,num_gpus_per_replica,p99_latency_ms,std_throughput_qps
0,52813.4011907,4,g3.4xlarge,3.99660633484162894228,30.3748273852,inception,5,1,138.3533,1.23591031398
1,54259.2274483,1,g3.4xlarge,0.999999999999999987044,28.1431069999,inception,2,1,54.00633,0.479582682161
2,65116.7613886,4,g3.4xlarge,3.97169811320754717328,3.54783798374,inception,3,0,1159.66969,0.137373118252
3,53105.0026197,2,g3.4xlarge,1.9994292237442922713,30.0223647531,inception,6,1,70.15086,0.268022837141
4,53069.4641966,8,g3.4xlarge,7.98430493273542603912,30.7321359301,inception,5,1,272.57208,1.90519728696
5,95885.4617275,1,g3.4xlarge,0.999999999999999996205,29.7212983766,inception,1,1,38.12748,0.0584644866655
6,53293.2127355,1,g3.4xlarge,0.999999999999999971973,29.2722501368,inception,3,1,44.81195,0.381116402254
7,54043.0359117,1,g3.4xlarge,1.00000000000000001637,28.2372481728,inception,2,1,52.85826,0.565162800465
8,53573.4888722,4,g3.4xlarge,3.99659863945578227467,30.079243867,inception,2,1,159.53255,1.2350317787
9,52917.2147913,1,g3.4xlarge,0.999999999999999988345,29.488910218,inception,6,1,35.75918,0.231898122603
10,53510.4575223,4,g3.4xlarge,3.99658314350797266639,29.9201966579,inception,3,1,169.0216,1.56994543355
11,53002.73188,2,g3.4xlarge,1.99944382647385983148,30.6045098523,inception,1,1,67.27825,0.0835605914891
12,64911.6142686,2,g3.4xlarge,1.99528301886792452555,3.52399461848,inception,3,0,613.29077,0.00529003181403
13,53227.1524389,4,g3.4xlarge,3.99672489082969431442,31.2299673898,inception,1,1,134.65294,1.29984958028
14,53127.3141643,2,g3.4xlarge,1.99943052391799539727,30.0885001995,inception,4,1,69.492,0.136981552852
15,52735.6495877,4,g3.4xlarge,3.99664804469273744433,30.714896412,inception,6,1,137.5738,1.27045831165
16,53628.0941241,8,g3.4xlarge,7.98412698412698414435,30.1867610908,inception,2,1,303.83766,1.98607136127
17,66609.7860371,8,g3.4xlarge,7.86538461538461538191,3.55969616434,inception,3,0,2342.669,0.180185748905
18,54250.4322882,2,g3.4xlarge,1.9994206257242178237,29.4021780165,inception,2,1,86.00647,0.406567918287
19,53046.1495484,8,g3.4xlarge,7.98409090909090908474,30.2905551523,inception,3,1,286.18872,1.96459129165
20,52744.4834975,8,g3.4xlarge,7.98484848484848484243,31.6195623232,inception,1,1,270.49839,2.04674171595
21,53129.4163848,1,g3.4xlarge,0.999999999999999973383,29.3693724171,inception,5,1,36.08272,0.292244845139
22,53132.507911,1,g3.4xlarge,0.999999999999999969046,29.3348311175,inception,4,1,35.88475,0.172475748912
23,52673.9946349,8,g3.4xlarge,7.98440979955456572913,30.9539928937,inception,6,1,271.209,1.97373800702
24,67662.5435571,16,g3.4xlarge,15.4615384615384615415,3.50068959898,inception,3,0,4638.727,0.315133774655
25,52663.9731441,2,g3.4xlarge,1.99942791762013730389,29.9681330382,inception,5,1,70.42255,0.256883990245
26,53633.7247829,2,g3.4xlarge,1.99942495687176540224,29.5922245748,inception,2,1,85.5758,0.427771353105
27,52785.4036429,4,g3.4xlarge,3.99661016949152540756,30.3952692714,inception,4,1,138.042,1.21737222281
28,53847.5860513,2,g3.4xlarge,1.9994292237442922713,29.8129902448,inception,3,1,77.32205,0.205885954443
29,65117.2294486,1,g3.4xlarge,0.999999999999999998699,3.50771230707,inception,3,0,299.64776,0.00265347746651
30,52684.2697551,8,g3.4xlarge,7.98440979955456572913,30.9068309167,inception,4,1,270.632,2.06121599361
