+-----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
|     |   client_latency_ms |   configured_batch_size |   mean_batch_size |   mean_throughput_qps | model_name   |   num_cpus_per_replica |   num_gpus_per_replica |   p99_latency_ms |   std_throughput_qps |
|  50 |          9615.85    |                       4 |           4       |               749.172 | lgbm         |                      5 |                      1 |          8.10426 |           432.384    |
|  51 |             2.79696 |                      32 |           1       |               192.256 | lgbm         |                      2 |                      0 |          1.704   |             0.739147 |
|  52 |             3.1103  |                      32 |           1.00391 |               192.36  | lgbm         |                      5 |                      0 |          6.73703 |             1.79055  |
|  53 |             2.78711 |                     128 |           1       |               192.503 | lgbm         |                      1 |                      0 |          1.651   |             0.831883 |
|  54 |             2.79193 |                      16 |           1       |               192.292 | lgbm         |                      1 |                      0 |          1.658   |             0.727439 |
|  55 |          4082.02    |                      32 |          31.948   |              2943.64  | lgbm         |                      4 |                      0 |         12.5518  |          1853.25     |
|  56 |          4336.58    |                      16 |          15.9418  |              3404.49  | lgbm         |                      2 |                      1 |          8.8904  |          2296.51     |
|  57 |          5971.44    |                       8 |           7.99829 |              1981.81  | lgbm         |                      2 |                      1 |          3.25615 |          1254.58     |
|  58 |          8233.52    |                       4 |           4       |              1108.39  | lgbm         |                      4 |                      1 |          8.93869 |           689.535    |
|  59 |           876.056   |                       8 |           4.57038 |              2797.78  | lgbm         |                      4 |                      1 |          5.34416 |          2020.26     |
|  60 |           717.821   |                      16 |           5.19211 |              3141.24  | lgbm         |                      2 |                      1 |          2.83492 |          1800.43     |
|  61 |             3.11551 |                      16 |           1.00391 |               192.332 | lgbm         |                      5 |                      0 |          6.73    |             1.91142  |
|  62 |           890.463   |                      64 |           5.21921 |              4275.32  | lgbm         |                      3 |                      0 |          2.37467 |          4569.54     |
|  63 |             2.78778 |                       8 |           1       |               192.222 | lgbm         |                      2 |                      0 |          1.704   |             0.718497 |
|  64 |          5123.03    |                      16 |          15.9872  |              2762.52  | lgbm         |                      3 |                      0 |         10.2128  |          2004.13     |
|  65 |             2.77454 |                      16 |           1       |               192.173 | lgbm         |                      2 |                      0 |          1.704   |             0.736587 |
|  66 |           745.227   |                      64 |           5.10725 |              3799.82  | lgbm         |                      2 |                      0 |          2.15123 |          3752.46     |
|  67 |         19125.8     |                       2 |           2       |               412.288 | lgbm         |                      4 |                      0 |          2.96536 |           292.043    |
|  68 |             2.8436  |                       4 |           1.00049 |               192.446 | lgbm         |                      2 |                      0 |          1.77027 |             0.661633 |
|  69 |           860.116   |                      32 |           5.00751 |              3298.16  | lgbm         |                      4 |                      0 |          4.0135  |          2905.23     |
|  70 |           737.419   |                      16 |           5.18403 |              3462.08  | lgbm         |                      2 |                      0 |          2.202   |          2581.67     |
|  71 |           894.216   |                      16 |           5.29942 |              3887.95  | lgbm         |                      3 |                      0 |          3.599   |          3788.09     |
|  72 |          4116.41    |                      32 |          31.9745  |              3245.27  | lgbm         |                      5 |                      0 |         12.5317  |          1996.67     |
|  73 |          3723.33    |                       2 |           1.99976 |              1164.79  | lgbm         |                      3 |                      1 |          2.73866 |           192.435    |
|  74 |          3918.16    |                      32 |          31.9714  |              3552.63  | lgbm         |                      5 |                      1 |         13.1662  |          2129.25     |
|  75 |           918.339   |                       4 |           3.9984  |              2216.54  | lgbm         |                      1 |                      0 |          2.04798 |           196.333    |
|  76 |         10712.9     |                       4 |           4       |               740.383 | lgbm         |                      5 |                      1 |          8.05635 |           450.813    |
|  77 |             3.40503 |                       1 |           1       |               192.635 | lgbm         |                      5 |                      0 |          6.793   |             1.57786  |
|  78 |         11536.2     |                       4 |           4       |               802.2   | lgbm         |                      5 |                      0 |          8.64512 |           507.332    |
