,client_latency_ms,configured_batch_size,mean_batch_size,mean_throughput_qps,model_name,num_cpus_per_replica,num_gpus_per_replica,p99_latency_ms,std_throughput_qps
0,6367.01942222,64,62.4999999999999999618,2111.73302021,lstm,4,1,474.341,3383.84524765
1,7899.3248503,16,15.923566878980891709,359.378180373,lstm,2,1,74.36985,35.8208334319
2,6837.91352485,64,62.4999999999999999618,1596.02872391,lstm,5,1,929.488,2420.9969442
3,12663.0557582,4,3.99680255795363705202,211.404202934,lstm,1,1,21.63564,9.27455944776
4,6766.75957111,64,62.4999999999999999618,2077.49342347,lstm,3,1,886.864,3320.67427287
5,13793.9596614,64,62.4999999999999999618,1901.12480572,lstm,1,0,403.713,3356.21743797
6,12727.4288362,16,15.923566878980891709,200.577094067,lstm,1,0,142.5777,21.6030000842
7,33020.9283729,1,1,78.4663070188,lstm,3,1,15.20706,1.73441772747
8,9528.79350404,8,7.98722044728434500335,293.960260528,lstm,5,1,31.06022,18.5660246864
9,6680.00450364,64,62.4999999999999999618,2146.51864208,lstm,2,1,874.496,3459.11389465
10,20098.2954687,2,1.9992003198720511779,130.529994387,lstm,3,1,17.62134,1.8818052102
11,13825.7065881,4,3.99680255795363705202,193.73746467,lstm,3,1,30.29488,12.8062690336
12,7756.82401273,16,15.923566878980891709,364.780755774,lstm,5,1,49.28225,32.8249056945
13,20878.7149776,1,1,120.319192004,lstm,4,0,9.61706,1.74114658466
14,20845.8335891,1,1,121.035972186,lstm,3,0,9.69103,1.68202590203
15,19444.1368648,2,1.9992003198720511779,134.931157916,lstm,1,1,16.97264,2.21800333959
16,12925.3061909,4,3.99680255795363705202,207.811700769,lstm,2,1,22.06912,9.25339668165
17,13772.6764808,128,121.951219512195121915,5194.31370896,lstm,3,0,781.141,4189.69144283
18,13052.2166386,8,7.98722044728434500335,193.528854846,lstm,5,0,58.59852,13.9556391471
19,6659.62958889,128,121.951219512195121908,5263.8880048,lstm,3,1,882.667,4090.52345293
20,32569.8507186,1,1,79.4708433136,lstm,2,1,15.33357,1.97126696012
21,13894.5507121,64,62.4999999999999999618,1914.66845732,lstm,5,0,424.276,3392.16417202
22,13837.5272384,128,121.951219512195121915,5296.76889663,lstm,1,0,773.336,4156.77270948
23,20065.9299598,2,1.9992003198720511779,130.398567885,lstm,2,1,17.66186,2.38149858047
24,20614.7573885,1,1,121.633104937,lstm,1,0,9.538,1.29380372216
25,19884.3573549,2,1.9992003198720511779,130.941601674,lstm,5,1,17.41184,2.93532407886
26,13794.5287244,4,3.99680255795363705202,181.714860341,lstm,1,0,25.66672,8.57246803635
27,32713.2806644,1,1,78.8526026721,lstm,1,1,14.77933,1.00506660005
28,12951.6849875,8,7.98722044728434500335,195.031326498,lstm,4,0,64.09328,15.3034457781
29,6687.15472626,128,121.951219512195121908,5227.82210575,lstm,2,1,890.567,4093.01024302
30,32641.1605699,1,1,79.3735354466,lstm,5,1,14.88872,1.58260405503
31,13806.4337451,4,3.99680255795363705202,181.813796829,lstm,5,0,25.74464,8.69618807919
32,15807.7259168,2,2.00000000000000004098,158.472115504,lstm,1,0,14.55787,2.67695934321
33,32677.0693762,1,1,78.8387166812,lstm,4,1,15.25387,1.84391416947
34,13018.7381832,4,3.99680255795363705202,206.58952447,lstm,5,1,22.72224,10.1867103165
35,6867.04181495,128,121.951219512195121908,5191.59539057,lstm,4,1,899.119,4031.45019851
36,20691.8553588,1,1,121.316667809,lstm,5,0,9.62957,1.54625957527
37,13877.935978,4,3.99680255795363705202,180.169405095,lstm,3,0,36.74308,10.3552888234
38,13780.0019408,4,3.99680255795363705202,181.443167617,lstm,4,0,25.6712,8.53704304386
39,15944.6209915,2,1.9992003198720511779,157.33251066,lstm,4,0,14.71088,2.5639045656
40,6799.41270364,128,121.951219512195121908,5156.33331261,lstm,1,1,897.65,3987.50177427
41,9557.59518404,8,7.98722044728434500335,288.135935126,lstm,2,1,44.70452,22.9465956515
42,12684.5716143,16,15.923566878980891709,200.609018069,lstm,4,0,106.6897,18.2195802075
43,12835.293341,8,7.98722044728434500335,194.540264586,lstm,2,0,72.35812,15.9716777743
44,13760.8441962,64,62.4999999999999999618,1940.09216354,lstm,4,0,414.516,3446.48958415
45,7468.55872869,16,15.923566878980891709,358.615414656,lstm,1,1,77.2283,38.8595233515
46,12777.4477061,16,15.923566878980891709,199.290843259,lstm,2,0,147.54615,22.3067581732
47,19605.4562776,2,1.9992003198720511779,133.234468649,lstm,4,1,19.7238,4.87627795231
48,20717.4315865,1,1,120.444032789,lstm,2,0,12.48727,5.41388895185
49,12729.0088218,16,15.923566878980891709,200.900545072,lstm,5,0,137.46365,20.4450897082
50,12690.4018707,16,15.923566878980891709,200.316657116,lstm,3,0,148.61505,21.4947165257
51,6797.15337859,64,62.4999999999999999618,2096.29604959,lstm,1,1,873.926,3379.40846004
52,13912.9190715,64,62.4999999999999999618,1983.31149105,lstm,2,0,497.348,3448.2709383
53,7868.9191499,16,15.923566878980891709,360.700134504,lstm,3,1,74.79725,33.9535423849
54,13752.754943,128,121.951219512195121915,5166.35669304,lstm,4,0,755.509,4049.06552647
55,9479.64209899,8,7.98722044728434500335,291.131969687,lstm,1,1,41.92961,21.4408868504
56,8579.11806828,16,15.923566878980891709,330.747779632,lstm,4,1,74.56635,32.2905697665
57,13916.9969099,128,121.951219512195121908,5226.07519275,lstm,5,0,770.47,4106.62798694
58,6813.46527717,128,121.951219512195121908,5299.96957096,lstm,5,1,891.035,4153.60917814
59,12799.0520442,8,7.97448165869218504424,195.530272469,lstm,1,0,67.3606,15.3674267937
60,12835.5457808,4,3.99680255795363705202,209.625329838,lstm,4,1,21.71048,9.32847658878
61,10777.3282057,8,7.98722044728434500335,253.230865916,lstm,3,1,49.34013,22.4021652412
62,15865.8632836,2,1.9992003198720511779,157.734995162,lstm,3,0,14.53944,3.0450478682
63,15849.1048386,2,1.9992003198720511779,158.214254787,lstm,2,0,14.5971,2.36580665475
64,10383.8393135,8,7.98722044728434500335,270.278233554,lstm,4,1,47.89537,28.1032012417
65,14202.5796883,64,62.4999999999999999618,2026.21989594,lstm,3,0,564.172,3537.47977796
66,13766.5202394,128,121.951219512195121915,5190.92033264,lstm,2,0,753.79,4092.46481678
67,13035.9251216,8,7.98722044728434500335,192.42968131,lstm,3,0,73.68573,16.3970934183
68,14070.3481604,4,3.99680255795363705202,179.059326817,lstm,2,0,39.90352,15.6861025756
69,15844.915819,2,1.9992003198720511779,157.737507052,lstm,5,0,14.59862,2.75104737582
